Label,phAngle_mean,Freq_mean,ReactPower_mean,Power_mean,Power_max,Power_min,Volts_mean,Cur_mean
1,297.9108635097493,49.999164345403905,-4.32542339832869,51.82576880222842,1182.306,1.552,223.3680306406685,0.2625793871866295
2,291.949860724234,50.00557103064067,-3.9586100278551535,35.383008356545965,1198.662,1.656,225.3334846796657,0.17798050139275767
3,3.284122562674095,50.0,19.206857938718663,112.79163509749304,1413.715,0.0,236.6957548746518,0.5086100278551532
4,0.7994428969359332,50.01782729805014,5.922958217270194,32.27659052924791,1413.611,0.0,236.19699442896933,0.15035654596100276
5,4.490196078431373,49.99635854341736,15.408100840336138,40.50212044817928,1193.274,0.0,231.50961904761908,0.21194117647058822
6,21.380403458213255,49.999711815561966,30.005331412103743,795.0710749279539,883.012,0.0,231.94391066282424,3.4211786743515846
7,243.37883008356545,50.00055710306407,9.88239554317549,90.73568523676879,1332.22,0.104,237.56418941504177,0.4271866295264624
8,2.8774373259052926,50.0,9.394097493036213,31.496406685236767,1203.37,0.0,231.22584679665738,0.15684401114206126
9,37.11944444444445,50.000277777777775,28.609791666666666,750.937575,882.7,0.0,233.3065388888889,3.219205555555555
10,103.08516483516483,50.0,10.136071428571428,679.2387912087912,1183.49,0.104,235.6681675824176,2.9257609890109886
